t_s,u_left,u_right
0.0,1.0,1.0
0.1,1.0,1.0
0.2,1.0,1.0
0.30000000000000004,1.0,1.0
0.4,1.0,1.0
0.5,1.0,1.0
0.6000000000000001,1.0,1.0
0.7000000000000001,1.0,1.0
0.8,1.0,1.0
0.9,1.0,1.0
1.0,1.0,1.0
1.1,1.0,1.0
1.2000000000000002,1.0,1.0
1.3,1.0,1.0
1.4000000000000001,1.0,1.0
1.5,1.0,1.0
1.6,1.0,1.0
1.7000000000000002,1.0,1.0
1.8,1.0,1.0
1.9000000000000001,1.0,1.0
2.0,1.0,1.0
2.1,1.0,1.0
2.2,1.0,1.0
2.3000000000000003,1.0,1.0
2.4000000000000004,1.0,1.0
2.5,1.0,1.0
2.6,1.0,1.0
2.7,1.0,1.0
2.8000000000000003,1.0,1.0
2.9000000000000004,1.0,1.0
3.0,1.0,1.0
3.1,1.0,1.0
3.2,1.0,1.0
3.3000000000000003,1.0,1.0
3.4000000000000004,1.0,1.0
3.5,1.0,1.0
3.6,1.0,1.0
3.7,1.0,1.0
3.8000000000000003,1.0,1.0
3.9000000000000004,1.0,1.0
4.0,1.0,1.0
4.1000000000000005,1.0,1.0
4.2,1.0,1.0
4.3,1.0,1.0
4.4,1.0,1.0
4.5,1.0,1.0
4.6000000000000005,1.0,1.0
4.7,1.0,1.0
4.800000000000001,1.0,1.0
4.9,1.0,1.0
5.0,0.0,1.0
5.1000000000000005,0.0,1.0
5.2,0.0,1.0
5.300000000000001,0.0,1.0
5.4,0.0,1.0
5.5,1.0,1.0
5.6000000000000005,1.0,1.0
5.7,1.0,1.0
5.800000000000001,1.0,1.0
5.9,1.0,1.0
6.0,1.0,1.0
6.1000000000000005,1.0,1.0
6.2,1.0,1.0
6.300000000000001,1.0,1.0
6.4,1.0,1.0
6.5,1.0,1.0
6.6000000000000005,1.0,1.0
6.7,1.0,1.0
6.800000000000001,1.0,1.0
6.9,1.0,1.0
7.0,1.0,1.0
7.1000000000000005,1.0,1.0
7.2,1.0,1.0
7.300000000000001,1.0,1.0
7.4,1.0,1.0
7.5,1.0,1.0
7.6000000000000005,1.0,1.0
7.7,1.0,1.0
7.800000000000001,1.0,1.0
7.9,1.0,1.0
8.0,1.0,1.0
8.1,1.0,1.0
8.200000000000001,1.0,1.0
8.3,1.0,1.0
8.4,1.0,1.0
8.5,1.0,1.0
8.6,1.0,1.0
8.700000000000001,1.0,1.0
8.8,1.0,1.0
8.9,1.0,1.0
9.0,1.0,1.0
9.1,1.0,1.0
9.200000000000001,1.0,1.0
9.3,1.0,1.0
9.4,1.0,1.0
9.5,1.0,1.0
9.600000000000001,1.0,1.0
9.700000000000001,1.0,1.0
9.8,1.0,1.0
9.9,1.0,1.0
