test_id,left_pwm,right_pwm,linvel_cmd,turnrate_cmd,sample_count,vel_left_mean,vel_right_mean,vel_mean,enc_left_start,enc_left_end,enc_left_delta,enc_right_start,enc_right_end,enc_right_delta,bat_v_mean,bat_v_min,bat_v_max,t_start,t_end
0,-3000.0,-3000.0,-0.25634765625,0.0,75,-0.25501333333333337,-0.25925333333333334,-0.2571333333333333,1888.0,2295.0,407.0,823.0,396.0,-427.0,12.047600000000001,12.02,12.05,1773236406.7854,1773236407.9862
1,-3000.0,-2000.0,-0.213623046875,0.3884055397727273,75,-0.25784,-0.16721333333333332,-0.21252666666666667,2752.0,3169.0,417.0,58.0,4294967084.0,4294967026.0,12.06,12.06,12.06,1773236408.4898,1773236409.6914
2,-3000.0,-1000.0,-0.1708984375,0.7768110795454546,75,-0.2564133333333334,-0.08238666666666666,-0.1694,3622.0,4045.0,423.0,4294966929.0,4294966813.0,-116.0,12.05,12.05,12.05,1773236410.1952,1773236411.3876
3,-3000.0,0.0,-0.128173828125,1.1652166193181819,76,-0.2578947368421053,0.0,-0.12894736842105264,4510.0,4934.0,424.0,4294966799.0,4294966799.0,0.0,12.062763157894736,12.06,12.07,1773236411.9003,1773236413.0998
4,-3000.0,1000.0,-0.08544921875,1.5536221590909092,75,-0.25566666666666665,0.08570666666666667,-0.08498,5377.0,5791.0,414.0,4294966918.0,4294967039.0,121.0,12.064,12.06,12.07,1773236413.6046,1773236414.7978
5,-3000.0,2000.0,-0.042724609375,1.9420276988636365,75,-0.25750666666666666,0.17112,-0.043193333333333334,6244.0,6661.0,417.0,10.0,285.0,275.0,12.056799999999999,12.0,12.06,1773236415.302,1773236416.5022
6,-3000.0,3000.0,0.0,2.3304332386363638,75,-0.25709333333333334,0.25769333333333333,0.00030000000000000084,7077.0,7499.0,422.0,690.0,1114.0,424.0,12.06,12.06,12.06,1773236417.006,1773236418.1992
7,-2000.0,-3000.0,-0.213623046875,-0.3884055397727273,76,-0.16598684210526315,-0.25673684210526315,-0.21136184210526318,7797.0,8070.0,273.0,734.0,312.0,-422.0,12.067894736842106,12.06,12.07,1773236418.7117,1773236419.9118
8,-2000.0,-2000.0,-0.1708984375,0.0,76,-0.17148684210526316,-0.17051315789473684,-0.171,8355.0,8635.0,280.0,4294967287.0,4294967007.0,-280.0,12.06,12.06,12.06,1773236420.4159,1773236421.6166
9,-2000.0,-1000.0,-0.128173828125,0.3884055397727273,75,-0.17186666666666667,-0.08690666666666666,-0.12938666666666668,8914.0,9196.0,282.0,4294966850.0,4294966736.0,-114.0,12.0664,12.06,12.07,1773236422.1291,1773236423.3219
10,-2000.0,0.0,-0.08544921875,0.7768110795454546,76,-0.17035526315789473,0.0,-0.08517763157894737,9471.0,9750.0,279.0,4294966731.0,4294966731.0,0.0,12.059736842105265,12.04,12.06,1773236423.8337,1773236425.0343
11,-2000.0,1000.0,-0.042724609375,1.1652166193181819,75,-0.17214666666666667,0.08661333333333333,-0.04276666666666667,10030.0,10308.0,278.0,4294966850.0,4294966984.0,134.0,12.06,12.06,12.06,1773236425.5469,1773236426.7401
12,-2000.0,2000.0,0.0,1.5536221590909092,75,-0.17045333333333335,0.17268,0.001113333333333333,10577.0,10851.0,274.0,4294967247.0,229.0,-4294967018.0,12.058666666666667,12.05,12.06,1773236427.252,1773236428.4526
13,-2000.0,3000.0,0.042724609375,1.9420276988636365,75,-0.17141333333333333,0.25621333333333335,0.0424,11103.0,11379.0,276.0,643.0,1058.0,415.0,12.062533333333334,12.05,12.07,1773236428.9648,1773236430.1577
14,-1000.0,-3000.0,-0.1708984375,-0.7768110795454546,75,-0.08562666666666666,-0.25734666666666667,-0.17148666666666665,11514.0,11649.0,135.0,695.0,279.0,-416.0,12.044133333333335,12.03,12.05,1773236430.6616,1773236431.8624
15,-1000.0,-2000.0,-0.128173828125,-0.3884055397727273,75,-0.08928,-0.16971999999999998,-0.1295,11794.0,11936.0,142.0,4294967248.0,4294966970.0,-278.0,12.027733333333332,12.02,12.03,1773236432.3739,1773236433.5668
