x,y,heading,cumulative_dist
-0.000000,-0.000000,-0.030995,0.000000
0.049785,-0.001538,-0.030644,0.049809
0.099577,-0.003041,-0.029590,0.099623
0.149382,-0.004474,-0.027834,0.149449
0.199207,-0.005803,-0.025377,0.199292
0.249059,-0.006992,-0.022222,0.249158
0.298945,-0.008008,-0.018370,0.299054
0.348870,-0.008815,-0.013825,0.348986
0.398843,-0.009377,-0.008589,0.398962
0.448869,-0.009662,-0.002667,0.448989
0.498955,-0.009633,0.003936,0.499075
0.549108,-0.009256,0.011214,0.549229
0.599334,-0.008496,0.019160,0.599461
0.649641,-0.007318,0.027767,0.649782
0.700035,-0.005688,0.036823,0.700202
0.750472,-0.003831,0.033384,0.750674
0.800779,-0.002664,0.009578,0.800994
0.850759,-0.003213,-0.035160,0.850977
0.900217,-0.006506,-0.101591,0.900544
0.948972,-0.013477,-0.182102,0.949795
0.996991,-0.024200,-0.255919,0.998997
1.044317,-0.038293,-0.321465,1.048377
1.090995,-0.055371,-0.378563,1.098081
1.137068,-0.075050,-0.427329,1.148181
1.182582,-0.096944,-0.468043,1.198687
1.227580,-0.120668,-0.501052,1.249555
1.272106,-0.145837,-0.526699,1.300703
1.316206,-0.172066,-0.545267,1.352013
1.359922,-0.198970,-0.556953,1.403345
1.403300,-0.226163,-0.561842,1.454542
1.446382,-0.253268,-0.560853,1.505440
1.489139,-0.280177,-0.563632,1.555961
1.531449,-0.307157,-0.572804,1.606141
1.573179,-0.334502,-0.588462,1.656032
1.614198,-0.362505,-0.610650,1.705699
1.654375,-0.391459,-0.639340,1.755222
1.693693,-0.421510,-0.663011,1.804709
1.732607,-0.452194,-0.669473,1.854264
1.771699,-0.482883,-0.658803,1.903963
1.811549,-0.512951,-0.631242,1.953885
1.852739,-0.541774,-0.587276,2.004157
1.895848,-0.568724,-0.527837,2.054997
1.941241,-0.593387,-0.482153,2.106658
1.985999,-0.618561,-0.567735,2.158010
2.024639,-0.649546,-0.813452,2.207539
2.048336,-0.692400,-1.350589,2.256509
2.060550,-0.741624,-1.302793,2.307225
2.074903,-0.789753,-1.260614,2.357449
2.090943,-0.836982,-1.227772,2.407327
2.108213,-0.883510,-1.204594,2.456957
2.126163,-0.929597,-1.202268,2.506416
2.142931,-0.976393,-1.261763,2.556126
2.155706,-1.025688,-1.379516,2.607049
2.166639,-1.076215,-1.256457,2.658746
2.193938,-1.116151,-0.535494,2.707120
2.244367,-1.132286,-0.249537,2.760068
2.293349,-1.150361,-0.560476,2.812278
2.323476,-1.184904,-0.631749,2.858113
2.366228,-1.179859,0.507405,2.901161
2.419406,-1.137399,0.782511,2.969211
2.465534,-1.084017,0.932306,3.039761
2.499860,-1.031053,1.055834,3.102876
2.525736,-0.980195,1.137387,3.159938
2.546643,-0.932976,1.159423,3.211579
2.566063,-0.890929,1.099731,3.257894
2.587479,-0.855587,0.928014,3.299218
2.614371,-0.828483,0.630497,3.337400
2.650111,-0.811072,0.295936,3.377155
2.695110,-0.802745,0.096405,3.422918
2.746588,-0.800665,-0.001151,3.474439
2.801609,-0.801886,-0.033836,3.529473
2.857271,-0.803498,-0.018770,3.585158
2.911958,-0.803888,0.004497,3.639847
2.965641,-0.803039,0.027077,3.693536
3.018385,-0.801034,0.048821,3.746318
3.070258,-0.797956,0.069588,3.798283
3.121328,-0.793888,0.089236,3.849514
3.171662,-0.788912,0.107635,3.900093
3.221326,-0.783113,0.124659,3.950095
3.270389,-0.776571,0.140195,3.999592
3.318917,-0.769371,0.154137,4.048652
3.366978,-0.761596,0.166394,4.097337
3.414638,-0.753327,0.176886,4.145710
3.461966,-0.744648,0.185544,4.193827
3.509028,-0.735641,0.192314,4.241743
3.555892,-0.726390,0.197151,4.289511
3.602625,-0.716978,0.200027,4.337182
3.647002,-0.707953,0.200924,4.382468
