t_epoch,t_str,prior_x,prior_y,prior_yaw,vision_x,vision_y,vision_z,vision_yaw,vision_src,line_valid,aruco_n
1776421060.623,2026-04-17 12:17:40.623393,4.775,0.235,1.571,4.769,0.235,0.000,1.659,tape,True,0
1776421060.678,2026-04-17 12:17:40.678028,4.769,0.235,1.659,nan,nan,nan,nan,none,True,0
1776421060.891,2026-04-17 12:17:40.891181,4.769,0.235,1.659,4.766,0.235,0.000,1.802,tape,True,0
1776421061.078,2026-04-17 12:17:41.078107,4.766,0.235,1.802,4.765,0.235,0.000,2.030,tape,True,0
1776421061.950,2026-04-17 12:17:41.950142,4.765,0.235,2.030,4.765,0.235,0.000,2.030,tape,True,0
1776421063.073,2026-04-17 12:17:43.073481,4.765,0.235,2.030,4.764,0.235,0.000,2.030,tape,True,0
1776421064.109,2026-04-17 12:17:44.109030,4.764,0.235,2.030,4.764,0.235,0.000,2.030,tape,True,0
1776421065.180,2026-04-17 12:17:45.180006,4.764,0.235,2.030,4.764,0.235,0.000,2.030,tape,True,0
1776421066.215,2026-04-17 12:17:46.214593,4.764,0.235,2.030,4.764,0.235,0.000,2.030,tape,True,0
1776421067.330,2026-04-17 12:17:47.329757,4.764,0.235,2.030,4.764,0.235,0.000,2.030,tape,True,0
1776421067.804,2026-04-17 12:17:47.804212,4.764,0.235,2.030,4.764,0.235,0.000,2.030,tape,True,0
1776421067.829,2026-04-17 12:17:47.828559,4.764,0.235,2.030,nan,nan,nan,nan,none,True,0
1776421067.853,2026-04-17 12:17:47.853008,4.764,0.235,2.030,nan,nan,nan,nan,none,True,0
1776421067.878,2026-04-17 12:17:47.877884,4.764,0.235,2.030,nan,nan,nan,nan,none,True,0
1776421067.903,2026-04-17 12:17:47.902654,4.764,0.235,2.030,nan,nan,nan,nan,none,True,0
1776421067.927,2026-04-17 12:17:47.927411,4.764,0.235,2.030,4.764,0.235,0.000,2.030,tape,True,0
1776421067.951,2026-04-17 12:17:47.950934,4.764,0.235,2.030,nan,nan,nan,nan,none,True,0
1776421067.975,2026-04-17 12:17:47.975268,4.764,0.235,2.030,nan,nan,nan,nan,none,True,0
1776421068.000,2026-04-17 12:17:48.000362,4.764,0.235,2.030,nan,nan,nan,nan,none,True,0
1776421068.025,2026-04-17 12:17:48.024601,4.764,0.235,2.030,nan,nan,nan,nan,none,True,0
1776421068.049,2026-04-17 12:17:48.048938,4.764,0.235,2.030,4.764,0.235,0.000,2.030,tape,True,0
1776421068.074,2026-04-17 12:17:48.073817,4.764,0.235,2.030,nan,nan,nan,nan,none,True,0
1776421068.099,2026-04-17 12:17:48.098706,4.764,0.235,2.030,nan,nan,nan,nan,none,True,0
