t_epoch,t_str,prior_x,prior_y,prior_yaw,vision_valid,vision_src,vision_x,vision_y,vision_z,vision_yaw,sigma_xy_m,sigma_yaw_rad,aruco_confidence,aruco_fix_mode,n_aruco_used,aruco_ids,landmark_name,line_valid,aruco_n_detected
1777239353.831,2026-04-26 23:35:53.831254,4.775,0.235,1.571,1,tape,4.781,0.235,0.000,1.584,,,,,,,,True,0
1777239353.906,2026-04-26 23:35:53.906225,4.781,0.235,1.584,1,tape,4.781,0.235,0.000,1.584,,,,,,,,True,0
1777239354.094,2026-04-26 23:35:54.093833,4.781,0.235,1.584,1,tape,4.781,0.235,0.000,1.584,,,,,,,,True,0
1777239354.313,2026-04-26 23:35:54.313000,4.781,0.235,1.584,1,tape,4.781,0.235,0.000,1.584,,,,,,,,True,0
1777239354.506,2026-04-26 23:35:54.506102,4.781,0.235,1.584,1,tape,4.781,0.235,0.000,1.584,,,,,,,,True,0
1777239354.689,2026-04-26 23:35:54.688862,4.781,0.235,1.584,1,tape,4.781,0.235,0.000,1.584,,,,,,,,True,0
1777239354.886,2026-04-26 23:35:54.886045,4.781,0.235,1.584,1,tape,4.781,0.235,0.000,1.584,,,,,,,,True,0
1777239355.083,2026-04-26 23:35:55.083262,4.781,0.235,1.584,1,tape,4.781,0.235,0.000,1.584,,,,,,,,True,0
1777239355.277,2026-04-26 23:35:55.277038,4.781,0.235,1.584,1,tape,4.781,0.235,0.000,1.584,,,,,,,,True,0
1777239355.475,2026-04-26 23:35:55.474839,4.781,0.235,1.584,1,tape,4.781,0.235,0.000,1.584,,,,,,,,True,0
1777239355.684,2026-04-26 23:35:55.683804,4.781,0.235,1.584,1,tape,4.781,0.235,0.000,1.584,,,,,,,,True,0
1777239355.941,2026-04-26 23:35:55.940641,4.781,0.235,1.584,1,tape,4.781,0.235,0.000,1.584,,,,,,,,True,0
1777239356.092,2026-04-26 23:35:56.091821,4.781,0.235,1.584,1,tape,4.781,0.235,0.000,1.584,,,,,,,,True,0
1777239356.293,2026-04-26 23:35:56.292636,4.781,0.235,1.584,1,tape,4.781,0.235,0.000,1.584,,,,,,,,True,0
1777239356.488,2026-04-26 23:35:56.488438,4.781,0.235,1.584,1,tape,4.781,0.235,0.000,1.584,,,,,,,,True,0
1777239356.687,2026-04-26 23:35:56.687254,4.781,0.235,1.584,1,tape,4.781,0.235,0.000,1.584,,,,,,,,True,0
1777239356.888,2026-04-26 23:35:56.887922,4.781,0.235,1.584,1,tape,4.781,0.235,0.000,1.584,,,,,,,,True,0
1777239357.082,2026-04-26 23:35:57.081741,4.781,0.235,1.584,1,tape,4.781,0.235,0.000,1.584,,,,,,,,True,0
1777239357.302,2026-04-26 23:35:57.301555,4.781,0.235,1.584,1,tape,4.781,0.235,0.000,1.584,,,,,,,,True,0
1777239357.503,2026-04-26 23:35:57.503056,4.781,0.235,1.584,1,tape,4.781,0.235,0.000,1.584,,,,,,,,True,0
1777239357.693,2026-04-26 23:35:57.692566,4.781,0.235,1.584,1,tape,4.781,0.235,0.000,1.584,,,,,,,,True,0
1777239357.894,2026-04-26 23:35:57.893964,4.781,0.235,1.584,1,tape,4.781,0.235,0.000,1.584,,,,,,,,True,0
1777239358.099,2026-04-26 23:35:58.099296,4.781,0.235,1.584,1,tape,4.781,0.235,0.000,1.584,,,,,,,,True,0
1777239358.280,2026-04-26 23:35:58.280090,4.781,0.235,1.584,1,tape,4.781,0.235,0.000,1.585,,,,,,,,True,0
1777239358.486,2026-04-26 23:35:58.486404,4.781,0.235,1.585,1,tape,4.781,0.235,0.000,1.584,,,,,,,,True,0
