% Pose logfile
% 1 	Time (sec)
% 2,3 	X, Y position (m)
% 4 	Heading in radians (m)
% 5 	Tilt angle, if calculated (rad)
1770200583.8317 0.000 0.000 0.0000 -2.6851
1770200583.8362 0.000 0.000 0.0000 -2.6852
1770200583.8415 0.000 0.000 0.0000 -2.6853
1770200583.8469 0.000 0.000 0.0000 -2.6854
1770200583.8512 0.000 0.000 0.0000 -2.6856
1770200583.8567 0.000 0.000 0.0000 -2.6857
1770200583.8611 0.000 0.000 0.0000 -2.6859
1770200583.8665 0.000 0.000 0.0000 -2.6860
1770200583.8719 0.000 0.000 0.0000 -2.6861
1770200583.8764 0.000 0.000 0.0000 -2.6862
1770200583.8817 0.000 0.000 0.0000 -2.6863
1770200583.8861 0.000 0.000 0.0000 -2.6863
1770200583.8915 0.000 0.000 0.0000 -2.6865
1770200583.8960 0.000 0.000 0.0000 -2.6866
1770200583.9014 0.000 0.000 0.0000 -2.6868
1770200583.9068 0.000 0.000 0.0000 -2.6869
1770200583.9112 0.000 0.000 0.0000 -2.6870
1770200583.9167 0.000 0.000 0.0000 -2.6872
1770200583.9211 0.000 0.000 0.0000 -2.6875
1770200583.9265 0.000 0.000 0.0000 -2.6876
1770200583.9319 0.000 0.000 0.0000 -2.6877
1770200583.9364 0.000 0.000 0.0000 -2.6879
1770200583.9417 0.000 0.000 0.0000 -2.6881
1770200583.9462 0.000 0.000 0.0000 -2.6882
1770200583.9515 0.000 0.000 0.0000 -2.6884
1770200583.9560 0.000 0.000 0.0000 -2.6886
1770200583.9614 0.000 0.000 0.0000 -2.6887
1770200583.9668 0.000 0.000 0.0000 -2.6888
1770200583.9712 0.000 0.000 0.0000 -2.6891
1770200583.9766 0.000 0.000 0.0000 -2.6892
1770200583.9811 0.000 0.000 0.0000 -2.6895
1770200583.9864 0.000 0.000 0.0000 -2.6896
1770200583.9918 0.000 0.000 0.0000 -2.6899
1770200583.9963 0.000 0.000 0.0000 -2.6900
1770200584.0017 0.000 0.000 0.0000 -2.6902
1770200584.0062 0.000 0.000 0.0000 -2.6903
1770200584.0115 0.000 0.000 0.0000 -2.6904
1770200584.0160 0.000 0.000 0.0000 -2.6905
1770200584.0214 0.000 0.000 0.0000 -2.6906
1770200584.0268 0.000 0.000 0.0000 -2.6906
1770200584.0312 0.000 0.000 0.0000 -2.6907
1770200584.0366 0.000 0.000 0.0000 -2.6907
1770200584.0410 0.000 0.000 0.0000 -2.6908
1770200584.0465 0.000 0.000 0.0000 -2.6908
1770200584.0518 0.000 0.000 0.0000 -2.6909
1770200584.0564 0.000 0.000 0.0000 -2.6909
1770200584.0619 0.000 0.000 0.0000 -2.6910
1770200584.0665 0.000 0.000 0.0000 -2.6910
1770200584.0719 0.000 0.000 0.0000 -2.6911
1770200584.0764 0.000 0.000 0.0000 -2.6912
1770200584.0817 0.000 0.000 0.0000 -2.6913
1770200584.0861 0.000 0.000 0.0000 -2.6913
1770200584.0916 0.000 0.000 0.0000 -2.6914
1770200584.0970 0.000 0.000 0.0000 -2.6914
1770200584.1014 0.000 0.000 0.0000 -2.6914
1770200584.1068 0.000 0.000 0.0000 -2.6915
1770200584.1111 0.000 0.000 0.0000 -2.6915
1770200584.1167 0.000 0.000 0.0000 -2.6916
1770200584.1220 0.000 0.000 0.0000 -2.6917
1770200584.1265 0.000 0.000 0.0000 -2.6918
1770200584.1313 0.000 0.000 0.0000 -2.6918
1770200584.1367 0.000 0.000 0.0000 -2.6919
1770200584.1421 0.000 0.000 0.0000 -2.6919
1770200584.1464 0.000 0.000 0.0000 -2.6920
1770200584.1519 0.000 0.000 0.0000 -2.6920
1770200584.1563 0.000 0.000 0.0000 -2.6920
1770200584.1617 0.000 0.000 0.0000 -2.6920
1770200584.1672 0.000 0.000 0.0000 -2.6921
1770200584.1716 0.000 0.000 0.0000 -2.6921
1770200584.1770 0.000 0.000 0.0000 -2.6922
1770200584.1813 0.000 0.000 0.0000 -2.6922
1770200584.1868 0.000 0.000 0.0000 -2.6923
1770200584.1922 0.000 0.000 0.0000 -2.6923
1770200584.1966 0.000 0.000 0.0000 -2.6924
1770200584.2020 0.000 0.000 0.0000 -2.6924
1770200584.2064 0.000 0.000 0.0000 -2.6925
1770200584.2118 0.000 0.000 0.0000 -2.6925
1770200584.2162 0.000 0.000 0.0000 -2.6925
1770200584.2217 0.000 0.000 0.0000 -2.6926
1770200584.2271 0.000 0.000 0.0000 -2.6926
1770200584.2315 0.000 0.000 0.0000 -2.6926
1770200584.2369 0.000 0.000 0.0000 -2.6927
1770200584.2422 0.000 0.000 0.0000 -2.6927
1770200584.2467 0.000 0.000 0.0000 -2.6928
1770200584.2520 0.000 0.000 0.0000 -2.6928
1770200584.2565 0.000 0.000 0.0000 -2.6929
1770200584.2619 0.000 0.000 0.0000 -2.6930
1770200584.2663 0.000 0.000 0.0000 -2.6931
1770200584.2717 0.000 0.000 0.0000 -2.6931
1770200584.2772 0.000 0.000 0.0000 -2.6932
1770200584.2816 0.000 0.000 0.0000 -2.6933
1770200584.2870 0.000 0.000 0.0000 -2.6934
1770200584.2914 0.000 0.000 0.0000 -2.6935
1770200584.2968 0.000 0.000 0.0000 -2.6936
1770200584.3022 0.000 0.000 0.0000 -2.6937
1770200584.3077 0.000 0.000 0.0000 -2.6937
1770200584.3120 0.000 0.000 0.0000 -2.6938
1770200584.3176 0.000 0.000 0.0000 -2.6939
1770200584.3219 0.000 0.000 0.0000 -2.6940
1770200584.3274 0.000 0.000 0.0000 -2.6940
1770200584.3320 0.000 0.000 0.0000 -2.6941
1770200584.3373 0.000 0.000 0.0000 -2.6942
1770200584.3418 0.000 0.000 0.0000 -2.6942
1770200584.3472 0.000 0.000 0.0000 -2.6943
1770200584.3517 0.000 0.000 0.0000 -2.6943
1770200584.3574 0.000 0.000 0.0000 -2.6944
1770200584.3627 0.000 0.000 0.0000 -2.6945
1770200584.3672 0.000 0.000 0.0000 -2.6946
1770200584.3726 0.000 0.000 0.0000 -2.6946
1770200584.3770 0.000 0.000 0.0000 -2.6947
1770200584.3824 0.000 0.000 0.0000 -2.6948
1770200584.3868 0.000 0.000 0.0000 -2.6949
1770200584.3922 0.000 0.000 0.0000 -2.6949
1770200584.3977 0.000 0.000 0.0000 -2.6950
1770200584.4020 0.000 0.000 0.0000 -2.6951
1770200584.4075 0.000 0.000 0.0000 -2.6952
1770200584.4119 0.000 0.000 0.0000 -2.6952
1770200584.4173 0.000 0.000 0.0000 -2.6953
1770200584.4217 0.000 0.000 0.0000 -2.6953
1770200584.4273 0.000 0.000 0.0000 -2.6954
1770200584.4318 0.000 0.000 0.0000 -2.6954
1770200584.4374 0.000 0.000 0.0000 -2.6955
1770200584.4427 0.000 0.000 0.0000 -2.6956
1770200584.4472 0.000 0.000 0.0000 -2.6957
1770200584.4517 0.000 0.000 0.0000 -2.6957
1770200584.4572 0.000 0.000 0.0000 -2.6957
1770200584.4628 0.000 0.000 0.0000 -2.6958
1770200584.4672 0.000 0.000 0.0000 -2.6958
1770200584.4717 0.000 0.000 0.0000 -2.6959
1770200584.4772 0.000 0.000 0.0000 -2.6959
1770200584.4826 0.000 0.000 0.0000 -2.6960
1770200584.4873 0.000 0.000 0.0000 -2.6961
1770200584.4927 0.000 0.000 0.0000 -2.6961
1770200584.4973 0.000 0.000 0.0000 -2.6961
1770200584.5027 0.000 0.000 0.0000 -2.6962
1770200584.5071 0.000 0.000 0.0000 -2.6962
1770200584.5127 0.000 0.000 0.0000 -2.6963
1770200584.5172 0.000 0.000 0.0000 -2.6963
1770200584.5218 0.000 0.000 0.0000 -2.6964
1770200584.5274 0.000 0.000 0.0000 -2.6964
1770200584.5321 0.000 0.000 0.0000 -2.6964
1770200584.5376 0.000 0.000 0.0000 -2.6964
1770200584.5421 0.000 0.000 0.0000 -2.6964
1770200584.5477 0.000 0.000 0.0000 -2.6965
1770200584.5521 0.000 0.000 0.0000 -2.6965
1770200584.5578 0.000 0.000 0.0000 -2.6966
1770200584.5623 0.000 0.000 0.0000 -2.6966
1770200584.5677 0.000 0.000 0.0000 -2.6967
1770200584.5723 0.000 0.000 0.0000 -2.6967
1770200584.5777 0.000 0.000 0.0000 -2.6968
1770200584.5822 0.000 0.000 0.0000 -2.6968
1770200584.5877 0.000 0.000 0.0000 -2.6969
1770200584.5923 0.000 0.000 0.0000 -2.6969
1770200584.5969 0.000 0.000 0.0000 -2.6970
1770200584.6022 0.000 0.000 0.0000 -2.6971
1770200584.6070 0.000 0.000 0.0000 -2.6971
1770200584.6127 0.000 0.000 0.0000 -2.6971
1770200584.6174 0.000 0.000 0.0000 -2.6972
1770200584.6228 0.000 0.000 0.0000 -2.6973
1770200584.6272 0.000 0.000 0.0000 -2.6973
1770200584.6318 0.000 0.000 0.0000 -2.6973
1770200584.6376 0.000 0.000 0.0000 -2.6973
1770200584.6422 0.000 0.000 0.0000 -2.6973
1770200584.6470 0.000 0.000 0.0012 -2.6973
1770200584.6528 0.000 0.000 0.0023 -2.6974
1770200584.6576 0.001 0.000 0.0035 -2.6975
1770200584.6623 0.002 0.000 0.0023 -2.6975
1770200584.6671 0.003 0.000 0.0012 -2.6978
1770200584.6727 0.003 0.000 0.0012 -2.6978
1770200584.6776 0.004 0.000 0.0012 -2.6975
1770200584.6823 0.005 0.000 0.0012 -2.6970
1770200584.6870 0.007 0.000 0.0012 -2.6970
1770200584.6929 0.007 0.000 -0.0000 -2.6970
1770200584.6976 0.008 0.000 -0.0000 -2.6972
1770200584.7023 0.009 0.000 -0.0000 -2.6973
1770200584.7068 0.010 0.000 -0.0000 -2.6974
1770200584.7125 0.011 0.000 -0.0000 -2.6974
1770200584.7171 0.012 0.000 -0.0000 -2.6973
1770200584.7225 0.013 0.000 -0.0000 -2.6975
1770200584.7272 0.014 0.000 -0.0000 -2.6975
1770200584.7328 0.015 0.000 -0.0000 -2.6976
1770200584.7374 0.016 0.000 -0.0000 -2.6979
1770200584.7418 0.017 0.000 -0.0000 -2.6979
1770200584.7472 0.018 0.000 -0.0000 -2.6980
1770200584.7529 0.019 0.000 -0.0000 -2.6980
1770200584.7574 0.020 0.000 -0.0000 -2.6982
1770200584.7620 0.021 0.000 0.0012 -2.6983
1770200584.7675 0.023 0.000 0.0012 -2.6983
1770200584.7721 0.024 0.000 -0.0000 -2.6984
1770200584.7775 0.025 0.000 -0.0000 -2.6986
1770200584.7820 0.026 0.000 0.0012 -2.6987
1770200584.7876 0.027 0.000 0.0012 -2.6987
1770200584.7920 0.028 0.000 -0.0000 -2.6986
1770200584.7976 0.030 0.000 0.0012 -2.6985
1770200584.8019 0.031 0.000 -0.0000 -2.6985
1770200584.8075 0.032 0.000 0.0012 -2.6986
1770200584.8121 0.033 0.000 0.0012 -2.6986
1770200584.8175 0.034 0.000 0.0012 -2.6987
1770200584.8220 0.035 0.000 0.0012 -2.6987
1770200584.8275 0.037 0.000 0.0012 -2.6988
1770200584.8321 0.038 0.000 0.0012 -2.6988
1770200584.8376 0.039 0.000 0.0012 -2.6989
1770200584.8430 0.040 0.000 0.0023 -2.6989
1770200584.8476 0.042 0.000 0.0012 -2.6990
1770200584.8520 0.043 0.000 0.0023 -2.6989
1770200584.8576 0.044 0.000 0.0012 -2.6990
1770200584.8621 0.045 0.000 0.0023 -2.6990
1770200584.8675 0.046 0.000 0.0012 -2.6990
1770200584.8720 0.047 0.000 0.0012 -2.6991
1770200584.8775 0.049 0.000 0.0023 -2.6991
1770200584.8821 0.050 0.000 0.0023 -2.6992
1770200584.8876 0.051 0.000 0.0012 -2.6994
1770200584.8922 0.052 0.000 0.0023 -2.6994
